patient_id,NCR_NET_Dice,ED_Dice,ET_Dice,mean_foreground_Dice
BraTS20_Training_025,0.901390971611769,0.7724903474903475,0.8438084022426461,0.8392299071149208
BraTS20_Training_047,0.6360063517268757,0.7131221590707004,0.8082293339923391,0.7191192815966384
BraTS20_Training_253,0.44590120513839226,0.7435513689585351,0.7650415350725869,0.651498036389838
BraTS20_Training_261,0.6359522149617743,0.7154745602022543,0.6317638203562767,0.6610635318401017
BraTS20_Training_071,0.07832408036106563,0.775817815300481,0.7700341434022896,0.5413920130212787
BraTS20_Training_287,0.4558160504959423,0.6539741867663377,0.9352245692451878,0.6816716021691559
BraTS20_Training_315,0.8966508078571765,0.520943259396334,0.36704119850187267,0.5948784219184611
BraTS20_Training_205,0.16647727272727272,0.7773435551194852,0.8671947809878844,0.6036718696115474
BraTS20_Training_220,0.700711483476295,0.8230597558210309,0.7124452405101535,0.7454054932691597
BraTS20_Training_135,0.6836162825664999,0.728305059052134,0.8032246551760335,0.7383819989315558
BraTS20_Training_127,0.2630208333333333,0.8991285184814184,0.8381365416899832,0.6667619645015783
BraTS20_Training_363,0.8741601521233889,0.8638287647178425,0.914002057153079,0.8839969913314368
BraTS20_Training_324,3.9767756303189374e-05,0.33505242665391577,0.0,0.11169739813673966
BraTS20_Training_074,0.020563552492636025,0.6346751347893631,0.12607088105329606,0.2604365227784317
BraTS20_Training_235,0.9153894246253529,0.8624283060021003,0.8836402499177902,0.8871526601817479
BraTS20_Training_203,0.6957677819632174,0.8533620660628304,0.8465469411592933,0.798558929728447
BraTS20_Training_256,0.4586246504194966,0.5869916141689915,0.7712696247559443,0.6056286297814775
BraTS20_Training_278,0.13668530557197195,0.4922910760091805,0.0,0.20965879386038414
BraTS20_Training_282,0.2498827812560333,0.683427660422479,0.6935414884516681,0.5422839767100601
BraTS20_Training_109,0.8490351872871736,0.8897675985180196,0.8852859808273821,0.8746962555441917
BraTS20_Training_034,0.8278378994855159,0.8351404108927156,0.7776501616470989,0.8135428240084434
BraTS20_Training_138,0.31560506693019497,0.8736998302617954,0.8463880431774149,0.6785643134564685
BraTS20_Training_206,0.14242292661745548,0.5609767229575536,0.8558700696055684,0.5197565730601925
BraTS20_Training_162,0.8641416494708114,0.9030524840367544,0.9286315536315536,0.8986085623797065
BraTS20_Training_356,0.8373630711536564,0.3474711132636823,0.8683337904211025,0.6843893249461471
BraTS20_Training_118,0.7888372093023256,0.8800204940856742,0.8775452964604252,0.848800999949475
BraTS20_Training_029,0.6848596168984519,0.8944022786876704,0.8301571380809094,0.8031396778890105
BraTS20_Training_167,0.11987198137910969,0.8272700547532429,0.7885655661257228,0.5785692007526918
BraTS20_Training_343,0.826163177302678,0.8599443594520769,0.8822375311628731,0.8561150226392092
BraTS20_Training_286,0.49353069782445075,0.24568161300030092,0.0,0.24640410360825057
BraTS20_Training_139,0.3280212483399734,0.7581670321130201,0.8369616658778988,0.6410499821102974
BraTS20_Training_305,0.7455352833285066,0.6803496612010552,0.0,0.47529498150985394
BraTS20_Training_237,0.29025067727444187,0.8543690829063249,0.5996283218732578,0.5814160273513416
BraTS20_Training_301,0.6293517604475156,0.6931319301898466,0.41419261404779145,0.5788921015617179
BraTS20_Training_365,0.7915639232978445,0.7936393645449337,0.8957117162601369,0.826971668034305
BraTS20_Training_274,0.2902537095683735,0.07223159078133783,0.7239193463363205,0.36213488222867724
BraTS20_Training_088,0.6238017301847089,0.6600719424460432,0.7612484799351439,0.681707384188632
BraTS20_Training_037,0.6092550154786315,0.8353277028557884,0.7666989920362044,0.7370939034568748
BraTS20_Training_137,0.43867039054988327,0.7857021062074181,0.7998898855268289,0.6747541274280434
BraTS20_Training_108,0.1349134001823154,0.6259816640719599,0.8595448267579415,0.5401466303374056
BraTS20_Training_182,0.682883284981031,0.6215612376159418,0.8775563575500811,0.7273336267156848
BraTS20_Training_190,0.27442371020856204,0.8320876795572616,0.6921074791395545,0.5995396229684594
BraTS20_Training_084,0.5152468207302064,0.7874531835205992,0.7606404092974022,0.6877801378494026
BraTS20_Training_187,0.44020653525798065,0.7456984782379844,0.8454876747634026,0.6771308960864558
BraTS20_Training_233,0.0,0.5887543974718263,0.567805716741887,0.3855200380712378
BraTS20_Training_335,0.7190798675749922,0.7323311375610276,0.0,0.4838036683786733
BraTS20_Training_329,0.6083342150209338,0.40856259156763797,0.0,0.3389656021961906
BraTS20_Training_052,0.762855716425362,0.7424751862710816,0.7915871567244669,0.7656393531403035
BraTS20_Training_352,0.062083699886892045,0.5811959724732255,0.8102923735368431,0.4845240152989869
BraTS20_Training_318,0.4732031276185186,0.5142356805801224,0.48320850446967867,0.4902157708894399
BraTS20_Training_149,0.5059918681789001,0.780026856318695,0.8290017674633059,0.7050068306536336
BraTS20_Training_117,0.7981785063752277,0.9177708668032485,0.8819408528844798,0.865963408687652
BraTS20_Training_024,0.6278938452851497,0.8001714931597614,0.8157530359777551,0.7479394581408888
BraTS20_Training_036,0.5463071512309496,0.6391514872031359,0.7884937792288008,0.6579841392209621
BraTS20_Training_099,0.0,0.3047481381390818,0.5770136599152144,0.29392059935143205
